time,itr,avg,std,MSE,MAE,total_cost
1549056293.181141,0,0.17362075798761462,1.5049520684108302,330.4835849978251,1.0824841284157858,14642.258099430119
1549056327.005541,1,0.02963705468761633,1.2283782054068992,217.40995735620933,0.8320156456036908,9653.101580972054
1549056425.502712,2,0.034198227824922024,1.197723139193149,206.7422741200882,0.810003767203369,7897.880128534661
1549056523.854975,3,0.13484045344598494,1.1510532094245285,193.40718318893178,0.7703328032893442,9377.539887582014
1549056622.004254,4,0.04342801809902565,1.292959969441821,241.00293244824059,0.8353752571291672,7564.4400038117965
1549056719.187043,5,0.04834234885871483,1.2596649449485646,228.82935689646462,0.851559089041539,7933.577004985984
1549056816.231293,6,0.053948149875433817,1.3293172686420456,254.87925171623007,0.918408001692461,8000.905415895387
1549056913.695437,7,-0.04344224122821964,1.2372126691065162,220.69186803656655,0.8057437505797069,7710.6313858237945
1549057010.830246,8,0.029207521363525064,1.349608667254067,262.410715300536,0.9167864398476616,7589.613078283538
1549057109.451662,9,0.038340139833384614,1.2306204648072225,218.28912404036947,0.8311264160640018,8234.352235157248
