time,itr,avg,std,MSE,MAE
1548799338.515782,0,-0.23555893090210542,0.5111669958608085,2.2174579530957472,0.44008276446869166
1548799340.034585,0,-0.23433840840819192,0.5124045064424809,2.2223100751449296,0.4367312659593063
1548799391.281928,3,-0.16338071969574372,0.5214146625908486,2.0899655695311936,0.4455899822916759
1548799392.877009,3,-0.1846641558693571,0.5191803542347253,2.12554363480366,0.4350986190413474
1548799443.917963,6,-0.1398821561708543,0.5397552583287213,2.1763192955595834,0.4683486634859677
1548799445.535621,6,-0.13501428989739955,0.5376158158053755,2.1508173671640503,0.46516447744783573
1548799496.193433,9,-0.0801457730688513,0.5725532571299616,2.339684040336522,0.5107778717326389
1548799498.022076,9,-0.08603495015494908,0.5686446691578526,2.315311406868658,0.5054811760876421
1548799549.881621,12,-0.06014882614725181,0.6002823524031957,2.547697487255248,0.5398597158880174
1548799551.519179,12,-0.05312724643193999,0.6263808762955176,2.7662285455152644,0.5653206262623302
1548799602.436101,15,0.0037346948665612422,0.6569955296063935,3.021599517079722,0.6007239649080278
1548799604.048322,15,-0.015043539228581664,0.6676617117603628,3.1219892859630978,0.6089735068370989
1548799658.03731,18,0.011325486289329254,0.708292022371158,3.5126409891602037,0.6488235093469089
1548799659.744575,18,0.009736806939997424,0.7177215812463777,3.6065335151733127,0.6571438662319052
1548799715.491684,21,0.033006789363747506,0.7606930284501146,4.0582033217369675,0.6950001604022386
