time,itr,avg,std,MSE,MAE,total_cost
1549060553.028315,0,-0.11298181965853477,1.690956685554435,287209.94039945945,1.0964916612819828,nan
1549060573.259754,0,-0.09848143136509054,1.6912224534838305,286993.1979491583,1.093661523828291,nan
1549060768.610036,3,-0.09266722586545625,1.6798711878469286,283055.442250785,1.0796009279597787,nan
1549060794.108092,3,-0.079696350955794,1.687842710641435,285516.45242210967,1.0842747025878963,nan
1549060989.499975,6,-0.09011952815680839,1.6831330872777535,284105.8518844348,1.077621205890073,nan
1549061011.898355,6,-0.08161921226554321,1.6635659767901927,277411.3454944756,1.0642989465233845,nan
1549061206.580886,9,-0.0750504933925142,1.6601043591438913,276157.9059807009,1.0576613091448042,nan
1549061226.403572,9,-0.06565479715883292,1.6561687145612396,274720.5363481397,1.0550954952262692,nan
1549061419.407983,12,-0.045645132446147145,1.632053070486998,266568.0703002064,1.0417606929237846,nan
1549061438.920179,12,-0.04343300941433774,1.6313629201220439,266323.1403455908,1.0434138072018266,nan
1549061633.848906,15,-0.03059372516907147,1.6005736354799074,256277.1938613088,1.0315113555168625,nan
1549061653.57692,15,-0.02533127675593101,1.6138241330126217,260507.0005876025,1.0424509103984245,nan
1549061850.33823,18,-0.018180966791976765,1.5897081987969532,252750.27048757442,1.0427950079388393,nan
1549061870.128111,18,-0.011381852952867985,1.583353875679992,250713.90422074927,1.0460873300340137,nan
1549062066.566708,21,0.00015777226511011036,1.5626217876465647,244178.6876119833,1.060257537537843,nan
1549062086.456471,21,-0.0031430242752360222,1.5717285134196364,247034.03984978946,1.0720508689977615,nan
1549062280.595724,24,0.005215950117693319,1.546345804085273,239121.2551947759,1.0774268329573915,nan
1549062299.825426,24,0.007805375166437627,1.527516853415549,233336.86613500287,1.0719380965374896,nan
1549062492.542547,27,0.020843140361484443,1.5300416842605393,234146.19920749572,1.1021102159978486,nan
1549062512.782289,27,0.015200833607515667,1.5241277520244159,232319.64698333622,1.104518026894904,nan
1549062706.894268,30,0.021405532573273652,1.4906247235080028,222242.02631580544,1.1017663784978942,nan
1549062726.087833,30,0.02872666286652197,1.4961373392705382,223925.21591189722,1.112074187519904,nan
1549062916.976041,33,0.012045692551655931,1.4730617712008194,217005.6080482344,1.1150359157290235,nan
1549062940.140038,33,0.011866443379326928,1.4797331845972994,218975.11100769398,1.125217335200337,nan
1549063131.954426,36,0.018324238381028805,1.4669426338864584,215225.6468825985,1.1354758454668927,nan
1549063155.128509,36,0.010085357533481972,1.4624850246407268,213896.4161734965,1.1382761604252278,nan
1549063344.883417,39,0.009926741276519466,1.4428176396078016,208182.1281355798,1.146505566755988,nan
1549063364.205895,39,0.014764543816779769,1.4488607969007088,209941.56005498738,1.1520996029739126,nan
1549063549.02803,42,0.01356791171425315,1.4242394538493466,202864.2110129371,1.1524331394028606,nan
1549063568.367258,42,0.012776977326312165,1.4179742408958522,201081.41989937643,1.1592874222254008,nan
1549063751.412769,45,0.00811348583573589,1.4127017832474584,199579.21570429558,1.1749795507069118,nan
1549063770.723426,45,0.003600999925239987,1.3971603304853808,195206.9956282481,1.162246582882786,nan
1549063953.510864,48,-0.004649775984781751,1.3784022791338475,190001.44635380936,1.1642066827951394,nan
1549063976.765114,48,0.009531219346075596,1.3744668351115428,188924.9924963764,1.166847612323635,nan
1549064164.462594,51,-0.02972962308058655,1.3751559923806755,189193.78538689937,1.180953196359101,nan
1549064184.332117,51,-0.04952161914572458,1.3736556113438998,188938.2129339397,1.1858584739269957,nan
1549064367.323873,54,-0.07902375769399571,1.3783762637743298,190616.587881656,1.1974899669236831,nan
1549064390.841055,54,-0.06797083736137721,1.3695598759058334,188031.42884228087,1.1888466259760295,nan
1549064577.468887,57,-0.07053687199171252,1.3506425143845806,182921.06519734775,1.1717757704040825,nan
1549064596.978361,57,-0.06848182165241339,1.3415421296628303,180442.50455571152,1.160401576015605,nan
1549064779.32766,60,-0.0866625849402149,1.3276709992844882,177022.06859695914,1.1461163804864913,nan
1549064802.46772,60,-0.09895365621582704,1.3227245457115206,175939.20499062294,1.1442715799917942,nan
1549064983.522769,63,-0.13511912102025245,1.3425259128593614,182063.30035641478,1.1629800583403196,nan
1549065002.692917,63,-0.11810470758235914,1.3377209310236085,180344.6011251784,1.1543560234879566,nan
1549065188.23866,66,-0.09806317529275549,1.3162397418988154,174210.34445023583,1.1312710352867226,nan
1549065211.472758,66,-0.10069711700911073,1.306666214980996,171751.65067467088,1.1215284448104932,nan
1549065395.263392,69,-0.09274428654288673,1.2936315913276226,168208.41967671862,1.106701832783469,nan
1549065414.267518,69,-0.07495050937139244,1.2957724100093453,168464.37173964584,1.10625319315765,nan
1549065597.462994,72,-0.08482167862105146,1.2946245454773049,168324.74309164108,1.1061121097103355,nan
1549065617.638311,72,-0.07882665063593519,1.3000033863456142,169622.24453605444,1.1101031932464942,nan
1549065798.840288,75,-0.1013770429807767,1.3027686382412187,170748.3429628406,1.1117784893666343,nan
1549065818.145323,75,-0.09313295957891427,1.2929827619612488,168047.81708888675,1.1004974083133012,nan
1549066001.397824,78,-0.08633923016580222,1.287070616426302,166400.5234333604,1.0913734161873554,nan
1549066024.996802,78,-0.10229615181982668,1.2837459417463257,165846.81456273055,1.0877601518849571,nan
1549066207.913924,81,-0.10563524928942684,1.268588312789707,162047.51132390747,1.0734438715212353,nan
1549066231.556187,81,-0.08695628033993387,1.265687538894251,160952.63408027438,1.066823664653438,nan
1549066420.559849,84,-0.1076542197705151,1.2810201536046555,165260.2064975693,1.0826226290256755,nan
1549066439.930143,84,-0.12110633256460934,1.2918924521197452,168365.28516312182,1.093627391010471,nan
1549066627.490958,87,-0.12572913506629707,1.2803150854792822,165501.45335103406,1.0851573949741602,nan
1549066651.215998,87,-0.08909022097784666,1.2759345989338595,163594.61682303905,1.0753766816426749,nan
1549066832.552947,90,-0.10262720820258492,1.2773990879245545,164228.07736939407,1.0790929400131486,nan
1549066856.086687,90,-0.11235093031369774,1.2778232415113733,164545.49680889872,1.0817302563420945,nan
1549067039.662609,93,-0.1223418204386136,1.2886775464271243,167565.73396936667,1.0860608953333095,nan
1549067059.639893,93,-0.12360427904779184,1.2945115943896426,169103.8285808139,1.0914902310382935,nan
1549067245.76904,96,-0.14619820653170487,1.29311702391558,169352.5553133374,1.0916037867065644,nan
1549067265.123978,96,-0.13292898400259553,1.2937573318717606,169147.81485598994,1.0904512603152203,nan
1549067447.376502,99,-0.13260359280902706,1.2883299311025649,167737.77242006015,1.0842552577664792,nan
1549067466.928328,99,-0.1252314892521441,1.2820767505302622,165940.37201505466,1.07670306208736,nan
