time,itr,avg,std,MSE,MAE
1548796995.147956,0,-0.23306573251160081,0.49184280879960013,2.073602889673343,0.42365148163952643
1548796996.705316,0,-0.2528407539359954,0.5010063952478139,2.204550984510919,0.43462589745203445
1548797045.122783,3,-0.2217230792154758,0.4818093420326024,1.96910956148677,0.42498623168948935
1548797046.736174,3,-0.23273232749252046,0.48405505611224064,2.019315435255372,0.42697539058175565
1548797097.898065,6,-0.20607346225670792,0.4796786102259349,1.907904886683258,0.42450482056663047
1548797099.50386,6,-0.22185364423322315,0.48382509169473126,1.9831403116908366,0.4271496305593825
1548797148.56767,9,-0.1850264052108353,0.48165851089116873,1.8636078421739966,0.42382113646393255
1548797150.369781,9,-0.20827952456871784,0.48507264709211667,1.9507308331806703,0.4269319999059373
1548797201.016047,12,-0.1886849957292765,0.47967131999346685,1.8598062198634233,0.42363871548022036
1548797202.631228,12,-0.19635178787669244,0.4880986679560103,1.9375603398396362,0.4301072107665013
