time,itr,avg,std,MSE,MAE
1548798594.045411,0,-0.25125727261036807,0.5160741982786631,2.30623956617996,0.4414723410726488
1548798595.601493,0,-0.2438523603240505,0.5256424532892052,2.3503477363485343,0.4472293410128835
1548798647.619695,3,-0.21151033493793855,0.5459171971154687,2.3993354552437793,0.4579996170759709
1548798649.274779,3,-0.19245219060013574,0.5581722332197088,2.440158613229875,0.47828969383276715
1548798703.01503,6,-0.1169738919360894,0.591775007858424,2.547163859243596,0.5344453014793227
1548798704.604317,6,-0.12658737585405463,0.6037451155239631,2.6637276977126154,0.542285275061172
1548798755.067495,9,-0.06015700072114001,0.6536775779406447,3.0163926844667768,0.6052279036310215
1548798756.637463,9,-0.05823123790525704,0.6777895143932189,3.2395265202256183,0.6262827138236481
1548798809.446945,12,0.005171116454039401,0.7185971855913728,3.6148605890965606,0.6753084939305704
1548798811.183887,12,-0.009703763197119233,0.7529189726469725,3.968867996743708,0.7032141094561692
1548798862.92533,15,0.039099813337023025,0.8116638984238773,4.622289555853454,0.7603530495383565
1548798864.535136,15,0.03720317001052335,0.8412770344585287,4.963917871963179,0.7856253170847306
1548798918.39957,18,0.0740852174546989,0.9006247847829028,5.716295356873918,0.8389678337598852
1548798920.013064,18,0.07566634739400865,0.9440290539098071,6.2784137552765715,0.8766335124923706
1548798971.679558,21,0.11143137268959981,1.0217791097749436,7.395146499943753,0.9441603100773557
1548798973.261303,21,0.13069949051941418,1.058058014308539,7.955983829251939,0.9760399305028632
1548799026.206461,24,0.15263199053082127,1.1134123914737468,8.84088574614482,1.0224370941241943
1548799027.845192,24,0.16313722413662962,1.1428532012994395,9.329090355335675,1.0466798322064095
1548799083.107308,27,0.18947725523114936,1.214361863693055,10.574034563694001,1.102138284514907
1548799084.690757,27,0.20990724402409727,1.25895116443774,11.40313359873053,1.1433395035682226
1548799136.40858,30,0.2378707102866955,1.3051995217002146,12.32089786381136,1.1822987886183107
1548799138.072105,30,0.2587720215207868,1.3411570654559342,13.059656633410295,1.212253048965741
1548799188.48383,33,0.2837154302521009,1.3879609409573612,14.048510132904646,1.2473850019564163
1548799190.063762,33,0.29624399825304054,1.4174533055089413,14.6785406585942,1.2737702983509307
1548799240.615483,36,0.3343671872147266,1.4571542218473643,15.6456988949344,1.3063386729943336
1548799242.267981,36,0.348470558639085,1.475090580249603,16.081267651255427,1.3206536534216997
1548799295.857782,39,0.3820623107710416,1.522464300547402,17.24708409027098,1.3587644377028343
1548799297.434358,39,0.3874312834920886,1.5495481748921978,17.858417820180474,1.3790583937350898
