time,itr,avg,std,MSE,MAE
1549085461.984969,0,-0.1104946840690957,1.691872772040633,287464.25519799854,1.0871432293381165
1549085484.720959,0,-0.0976947424171814,1.6912696975586732,286993.7452576165,1.0846013806258417
1549085552.820351,3,-0.050161146124332534,1.6877378584239404,285097.52193379356,1.0538279967935857
1549085571.771496,3,-0.03990233586011756,1.6977116631076365,288381.70874587906,1.0631258749629624
1549085639.823493,6,-0.03502170924954758,1.7018342595453821,289746.63670811395,1.0579347925635048
1549085658.996391,6,-0.02749099185303506,1.6884368373654648,285157.4708405756,1.0495717606714416
1549085725.331757,9,0.007818015464635925,1.7023020701122242,289789.345927417,1.048017167787707
1549085744.686751,9,0.00636918983949833,1.7032475528550886,290109.279288606,1.049336282837784
1549085812.881267,12,0.057676042842033384,1.7092032728541744,292470.23538533365,1.0487481412413302
1549085830.002795,12,0.057237901517305144,1.714787141688585,294377.11186706123,1.0534148136776884
1549085899.679598,15,0.11283237631230313,1.718463453932626,296584.7787646332,1.0592434401209507
1549085917.122169,15,0.11368169776648483,1.7297397704574784,300492.32019093604,1.0662293060946386
1549085988.639618,18,0.15830758698684155,1.7492835785868193,308505.4330411105,1.0908805763400935
1549086006.819554,18,0.15679084132542495,1.7484693217295908,308172.833695307,1.0913979775514637
1549086080.78504,21,0.23324137101752304,1.7952843877171705,327744.7569935149,1.1657389527329751
1549086102.422739,21,0.22666307510780162,1.8122791368704874,333573.1819553363,1.1771599421301384
1549086173.299791,24,0.31675013621985765,1.8749754397657945,361586.3548520233,1.278153927998444
1549086193.804961,24,0.3122401196104463,1.8563685655110238,354359.81433118024,1.2671336989977136
1549086264.69413,27,0.4022147153880199,1.970458765321754,404448.44231079967,1.412842237903752
1549086286.855988,27,0.41313435034082,1.970583853328582,405388.0714430854,1.410270813726796
1549086364.411827,30,0.512252483873646,2.0624000325372447,451589.6501444349,1.5313502703341777
1549086386.100327,30,0.5355964598355913,2.064959063525367,455091.9501823979,1.5377597191893766
1549086457.078367,33,0.5812250980486434,2.1676937870757413,503671.89691284247,1.6423432273188994
1549086474.054619,33,0.5750394373243208,2.1745402420835482,505929.5618919046,1.6474899903359523
1549086545.133208,36,0.6026998335736957,2.2246121512015695,531214.6312663434,1.694200218433734
1549086562.885069,36,0.5904731321885224,2.228568330924414,531517.5325435754,1.6947063918050436
1549086638.356118,39,0.6165896627842308,2.266941190669645,551920.5174207081,1.7311311097062152
1549086655.222248,39,0.6304508108569737,2.2689601979672647,554564.8604869866,1.7371326357949266
1549086732.084088,42,0.6255334593850279,2.2832822637344434,560467.0004694484,1.746580496483639
1549086749.363202,42,0.6353787648998175,2.2990070570933345,568913.9623450573,1.7643543255340364
1549086827.149432,45,0.624706627556176,2.3146744163124824,574797.6024044141,1.774509148951225
1549086844.166943,45,0.6432484421374947,2.3087308471162338,574400.6682738356,1.7721515386260906
1549086924.399116,48,0.6609573454719913,2.3535831412093104,597621.8215118066,1.8069328218876948
1549086941.776941,48,0.6741497443529751,2.359886997863259,602354.4520495246,1.8145155505251949
1549087036.151714,51,0.6627735216461502,2.3579777528493504,599932.7823927711,1.8119549884489683
1549087052.942441,51,0.6622787841790939,2.3444605048721496,593510.8246879113,1.7996172566930233
