time,itr,avg,std,MSE,MAE
1549081748.129472,0,-0.1140597594577999,1.6927869632497408,287853.7331675851,1.0970145172505446
1549081765.749994,0,-0.1009748039447404,1.6918858484559955,287267.3635237343,1.0942623440877874
1549081926.334122,3,-0.07119715905694499,1.6813551556957063,283202.4195042312,1.0795249635837887
1549081945.139768,3,-0.061247758847288336,1.6915081784415245,286495.120569838,1.088740058395408
1549082096.248217,6,-0.054603611185628655,1.6868348606378196,284839.3401417523,1.083030572944893
1549082113.467727,6,-0.04640059599271626,1.674204201346885,280511.2723116042,1.0744577442375827
1549082267.521173,9,-0.03415016410958118,1.6821946000340833,283094.4906092541,1.0782301206097937
1549082285.330653,9,-0.03629001832849402,1.6835006139716164,283549.1282673092,1.0790537917193552
1549082440.696136,12,0.041682285137254964,1.655129579692205,274119.1338466359,1.0555456539369528
1549082458.234961,12,0.04103741444008869,1.6606778549848291,275953.50074209407,1.0584034791729584
1549082612.238532,15,-0.011631289824497496,1.6273502190975362,264840.40224997804,1.0417216119332917
1549082629.609151,15,-0.0142048666897568,1.6371734861458167,268053.88019765215,1.0489113874913094
1549082784.906135,18,-0.029060763064804904,1.6015720855778448,256587.76732520756,1.0548674719691264
1549082804.6844,18,-0.03137114558752121,1.6047151087244202,257609.47289439017,1.0605918007275807
1549082964.731627,21,0.09482412382930565,1.5911834428419274,254085.63632342845,1.0934055838028234
1549082982.218297,21,0.0841359601264011,1.6065390853032986,258804.66923935505,1.103047968774402
1549083143.879276,24,0.10675628188050748,1.628020593815969,266184.7957609851,1.2832652125163164
1549083165.590662,24,0.10302882075587516,1.6151370967950092,261928.27793497575,1.2751872369874349
1549083325.632231,27,0.15523070863349137,1.611576894872376,262127.66609893454,1.2993202910166703
1549083342.892992,27,0.15641756348492755,1.6162829216770687,263683.6937071523,1.3031132397881944
1549083509.291669,30,0.18410162563787547,1.5819770508933604,253654.4798115762,1.3108741136725681
1549083526.418465,30,0.19542216464745346,1.5870258583121764,255684.08973869967,1.3182330042197195
1549083674.793992,33,0.25721321039138706,1.5803074870313982,256353.03891673373,1.3220838918403064
1549083695.575467,33,0.25258736245439645,1.5836891068150656,257187.15627163692,1.323853889537259
1549083856.247029,36,0.33300729652292693,1.6039382544608698,268351.178366049,1.3799293943877915
1549083874.054004,36,0.326065782739445,1.603036301144748,267604.42774613225,1.377816920401613
1549084032.295963,39,0.36088496505597845,1.5585773165392827,255940.12096342456,1.327759476159478
1549084049.82945,39,0.3589367839674493,1.5606956793724152,256460.66184966196,1.3286618924652278
1549084219.9592,42,0.4240655475897511,1.4709954525917794,234365.92101982897,1.2539818389058432
1549084237.652223,42,0.42922898655901554,1.4724322005570574,235229.4108139778,1.2572672945257442
1549084395.684135,45,0.5141773830254741,1.453895823388379,237819.14464810974,1.2820535221519227
1549084416.092381,45,0.5095295750356864,1.452680033590671,236989.966782904,1.2789409519646717
1549084570.261177,48,0.5346447544112928,1.435879319495611,234759.44335746902,1.2691113852005966
1549084592.858483,48,0.545179072697554,1.4373802614760487,236328.22373883188,1.271580431162612
1549084746.071301,51,0.43676396166315856,1.409356715502543,217704.9109739813,1.2217895737356703
1549084763.393796,51,0.43705535592936917,1.4021966198193698,215717.2744779414,1.2160670296271392
1549084922.832404,54,0.41087684751042725,1.4614722318567261,230472.08683083876,1.2811041586432443
1549084941.471057,54,0.4134499009415274,1.4653083295933127,231806.93213641032,1.2811598461150258
1549085090.88052,57,0.3702604623930306,1.4203578354470001,215450.91907271883,1.2541459738218261
1549085111.943847,57,0.3810260921105979,1.4226231326833902,216903.74605149773,1.2574648755897477
1549085250.466011,60,0.18724252131393532,1.5065497313532148,230475.18548284433,1.3390104880140046
1549085268.026474,60,0.18084125093133618,1.5044276604636322,229600.61436064882,1.3376628169372498
