time,itr,avg,std,MSE,MAE,total_cost
1549053049.231859,0,0.17362075798761462,1.5049520684108302,330.4835849978251,1.0824841284157858,14642.258099430119
1549053083.188113,1,0.13528526468155144,1.4522167456187378,306.32192338974266,0.9691870343993289,7658.602194206122
1549053180.681885,2,0.09700515860449589,1.429846682393262,295.7575011763538,0.9315832546472903,6723.714292831513
1549053278.756701,3,0.0776209599293189,1.3318498434315118,256.29825871712035,0.8819894482173132,6937.325161300107
1549053375.901508,4,0.054877606023178586,1.344638535924561,260.79326552681016,0.8761541962992859,6533.818160854883
1549053472.584934,5,0.08778072269246621,1.3587088392969697,266.9465037974588,0.8804111340983446,6791.79057858174
1549053569.205894,6,-0.0051721984305969455,1.420743587549683,290.6696294208215,0.9269911587877283,6673.85026462702
1549053673.69726,7,0.0036697299947054704,1.4067909425563776,284.986688108673,0.9318804632915713,6607.438882062668
1549053770.746188,8,0.037360123913915536,1.3847074708513953,276.30872045143644,0.8979970187035698,6663.20966410238
1549053868.249863,9,0.03566918947622506,1.3946398519970473,280.2661355312981,0.9187593010098646,6670.841537318706
1549053965.951739,10,0.0327225322572997,1.3934272730931307,279.75028745046075,0.9323858034989665,6600.898906119349
1549054062.680875,11,0.04081872369117097,1.344253080883366,260.45028196822045,0.8839485124811098,24447.838995953494
1549054159.933598,12,0.03531862386094633,1.3555051174835746,264.764380135045,0.9092366397623916,32917.05933124323
1549054256.055691,13,-0.0014582020156928494,1.3248105336138576,252.73801099113882,0.862666950538288,6758.081301187006
1549054353.027699,14,0.038940917500711276,1.359148915756487,266.22751251712776,0.8858470454717121,8266.682851221718
1549054450.179347,15,0.08493900206996802,1.3659278972666165,269.70820626295335,0.9001214416946106,28990.839274216436
1549054548.162268,16,-0.003621037573966516,1.3175152122997418,249.96376030382572,0.886529459901102,15918.206433546971
1549054646.097143,17,0.08980824459154117,1.374701707775229,273.2933240865714,0.9284092372553376,6723.603428711729
1549054744.131706,18,0.01733007740732346,1.3944664480355893,280.0565289043109,0.9519656716239798,7503.386381423616
1549054841.579178,19,0.022246652912714215,1.3975015335067427,281.30478475961036,0.9372332256399356,8312.482941001048
1549054939.061053,20,0.10508028310130106,1.4005784896193973,284.0633238932931,0.9410709897635253,7693.845691895601
1549055037.265603,21,0.03822409869903275,1.4288739834679878,294.2124396988362,0.9264021434404935,7415.576780311485
1549055134.111206,22,-0.0655600670238796,1.3884818381429231,278.23391096269324,0.9303937388247471,7036.028394950616
1549055231.62328,23,0.07930936002262463,1.3891452497549086,278.7860879285509,0.8962476819266235,7189.662706538497
1549055329.037402,24,0.09613515810658797,1.5105943545884781,329.92376727438136,1.0260164889580201,7712.415466044695
1549055426.967432,25,0.00015732595519073344,1.3927828999674674,279.33756929182715,0.9411940558528143,7100.059859903493
1549055526.259556,26,0.023509456072690466,1.381507020021138,274.9124650885226,0.9172811615972845,7265.206498724032
1549055624.613337,27,0.059092004424515704,1.4207050133097676,291.15282237557955,0.9399635401498317,6850.765887141984
1549055722.90622,28,0.026341781903814872,1.3771182609554462,273.1893975548382,0.9137888809299543,7194.0762454762835
1549055821.396446,29,-0.05681044505914602,1.3536741209506893,264.33519154551925,0.9042379465796517,7937.685399591911
